year	paper-Name	author
	In-Car GPS Navigation: Engagement with and Disengagement from the Environment	Gilly Leshed, Cornell University;Theresa Velden, Cornell University ;Oya Rieger, Cornell University ;Blazej Kot, Cornell University ;Phoebe Sengers, Cornell University
	Large Scale Analysis of Web Revisitation Patterns	Eytan Adar, University of Washington;Jaime Teevan, Microsoft ;Susan T. Dumais, Microsoft
	Multimodal collaborative handwriting training for visually-impaired people	Beryl Plimmer, University of Auckland;Andrew Crossan, University of Glasgow ;Stephen A. Brewster, University of Glasgow ;Rachel Blagojevic, University of Auckland
	The Network in the Garden: An Empirical Analysis of Social Media in Rural Life	Eric Gilbert, University of Illinois at Urbana–Champaign;Karrie Karahalios, University of Illinois at Urbana–Champaign ;Christian Sandvig, University of Illinois at Urbana–Champaign
2007	Authoring sensor-based interactions by demonstration with direct manipulation and pattern recognition	Björn Hartmann, Stanford University;Leith Abdulla, Stanford University ;Manas Mittal, Massachusetts Institute of Technology ;Scott R. Klemmer, Stanford University
	Consuming video on Mobile devices	Kenton O'Hara, Hewlett Packard;April Slayden Mitchell, Hewlett Packard ;Alex Vorbau, Hewlett Packard
	Multiview: improving trust in group video conferencing through spatial faithfulness	David T. Nguyen & John Canny, University of California, Berkeley
	Shift: a technique for operating pen-based interfaces using touch	Daniel Vogel, University of Toronto ;Patrick Baudisch, Microsoft
	Software or wetware?: discovering when and why people use digital prosthetic memory	Vaiva Kalnikaité & Steve Whittaker, University of Sheffield
	Sustainable interaction design: invention & disposal, renewal & reuse	Eli Blevis, Indiana University Bloomington
2006	Trackball text entry for people with motor impairments	Jacob Wobbrock & Brad Myers, Carnegie Mellon University
	Embedded phenomena: supporting science learning with classroom-sized distributed simulations	Tom Moher, University of Illinois at Chicago
	A role for haptics in mobile interaction: initial design using a handheld tactile display prototype	Joseph Luk, University of British Columbia;Jérôme Pasquero, McGill University ;Shannon Little, University of British Columbia ;Karon MacLean, University of British Columbia ;Vincent Lévesque, McGill University ;Vincent Hayward, McGill University
2005	The bubble cursor: enhancing target acquisition by dynamic resizing of the cursor's activation area	Tovi Grossman & Ravin Balakrishnan, University of Toronto
	Designing the spectator experience	Stuart Reeves, University of Nottingham;Steve Benford, University of Nottingham ;Claire O'Malley, University of Nottingham ;Mike Fraser, University of Bristol
	Examining Task Engagement in Sensor-Based Statistical Models of Human Interruptibility	James Fogarty, Carnegie Mellon University;Andrew J. Ko, Carnegie Mellon University ;Htet Htet Aung, Carnegie Mellon University ;Elspeth Golden, Carnegie Mellon University ;Karen P. Tang, Carnegie Mellon University ;Scott E. Hudson, Carnegie Mellon University
	Making space for stories: ambiguity in the design of personal communication systems	Paul M. Aoki, PARC ;Allison Woodruff, Intel
CIKM (Knowledge Management)		
2021	RxNet: Rx-refill Graph Neural Network for Overprescribing Detection	Jianfei Zhang, Case Western Reserve University;Ai-Te Kuo, Auburn University ;Jianan Zhao, Case Western Reserve University ;Qianlong Wen, Case Western Reserve University ;Erin Winstanley, West Virginia University ;Chuxu Zhang, Brandeis University ;Yanfang Ye, Case Western Reserve University
2020	Do People and Neural Nets Pay Attention to the Same Words: Studying Eye-tracking Data for Non-factoid QA Evaluation	Valeria Bolotova, RMIT University;Vladislav Blinov, Ural Federal University ;Yukun Zheng, Tsinghua University ;W Bruce Croft, University of Massachusetts ;Falk Scholer, RMIT University ;Mark Sanderson, RMIT University
	FANG: Leveraging Social Context for Fake News Detection Using Graph Representation	Van Hoang Nguyen, National University of Singapore;Kazunari Sugiyama, Kyoto University ;Preslav Nakov, Qatar Computing Research Institute ;Min Yen Kan, National University of Singapore
2019	AutoGRD: Model Recommendation Through Graphical Dataset Representation	Noy Cohen-Shapira, Ben-Gurion University of the Negev;Lior Rokach, Ben-Gurion University of the Negev ;Bracha Shapira, Ben-Gurion University of the Negev ;Gilad Katz, Ben-Gurion University of the Negev ;Roman Vainshtein, Ben-Gurion University of the Negev
2018	Relevance estimation with multiple information sources on search engine result pages	Junqi Zhang, Tsinghua University;Yiqun Liu, Tsinghua University ;Shaoping Ma, Tsinghua University ;Qi Tian, University of Texas at San Antonio
2017	Hike: A Hybrid Human-Machine Method for Entity Alignment in Large-Scale Knowledge Bases	Yan Zhuang, Tsinghua University;Guoliang Li, Tsinghua University ;Zhuojian Zhong, Tsinghua University ;Jianhua Feng, Tsinghua University
2016	Vandalism Detection in Wikidata	Stefan Heindorf, University of Paderborn;Martin Potthast, Bauhaus University ;Benno Stein, Bauhaus University ;Gregor Engels, University of Paderborn
2015	Assessing the Impact of Syntactic and Semantic Structures for Answer Passages Reranking	Kateryna Tymoshenko, University of Trento ;Alessandro Moschitti, Qatar Computing Research Institute
2014	Cross-Device Search	George Montanez, Carnegie Mellon University;Ryen White, Microsoft ;Xiao Huang, Microsoft
2013	Penguins in Sweaters, or Serendipitous Entity Search on User-generated Content	Ilaria Bordino, Yahoo;Yelena Mejova, Yahoo ;Mounia Lalmas, Yahoo
2012	Gelling, and Melting, Large Graphs by Edge Manipulation	Hanghang Tong, IBM;B. Aditya Prakash, Virginia Tech ;Tina Eliassi-Rad, Rutgers University ;Michalis Faloutsos, University of California, Riverside ;Christos Faloutsos, Carnegie Mellon University
2011	Intent-aware query similarity	Jiafeng Guo, Chinese Academy of Sciences;Xueqi Cheng, Chinese Academy of Sciences ;Gu Su, Microsoft ;Xiaofei Zhu, Chinese Academy of Sciences
2010	MENTA: Inducing Multilingual Taxonomies from Wikipedia	Gerard de Melo & Gerhard Weikum, Max Planck Institute for Informatics
	FACeTOR: cost-driven exploration of faceted query results	Abhijith Kashyap, University at Buffalo;Vagelis Hristidis, Florida International University ;Michalis Petropoulos, University at Buffalo
2009	On the Feasibility of Multi-Site Web Search Engines	Ricardo Baeza-Yates, Yahoo;Aristides Gionis, Yahoo ;Flavio Junqueira, Yahoo ;Vassilis Plachouras, Yahoo ;Luca Telloli, Yahoo
2008	Learning to Link with Wikipedia	David Milne & Ian H. Witten, University of Waikato
2007	Autonomously Semantifying Wikipedia	Fei Wu & Daniel S. Weld, University of Washington
2006	Discovering and Exploiting Keyword and Attribute-Value Co-occurrences to Improve P2P Routing Indices	Segabtian Michel, Max Planck Institute for Informatics;Matthias Bender, Max Planck Institute for Informatics ;Nikos Ntarmos, RACTI ;Peter Triantafillou, RACTI ;Gerhard Weikum, Max Planck Institute for Informatics ;Christian Zimmer, Max Planck Institute for Informatics
2005	Towards Automatic Association of Relevant Unstructured Content with Structured Query Results	Prasan Roy, IBM;Mukesh Mohania, IBM ;Bhuvan Bamba, Georgia Institute of Technology ;Shree Raman, University of Massachusetts Amherst
2004	Discovering Frequently Changing Structures from Historical Structural Deltas of Unordered XML	Qiankun Zhao, Nanyang Technological University;Sourav S Bhowmick, Nanyang Technological University ;Mukesh Mohania, IBM ;Yahiko Kambayashi, Kyoto University
CVPR (Computer Vision)		
2021	GIRAFFE: Representing Scenes as Compositional Generative Neural Feature Fields	Michael Niemeyer & Andreas Geiger, Max Planck Institute for Intelligent Systems
2020	Unsupervised Learning of Probably Symmetric Deformable 3D Objects from Images in the Wild	Shangzhe Wu, University of Oxford;Christian Rupprecht, University of Oxford ;Andrea Vedaldi, University of Oxford
2019	A Theory of Fermat Paths for Non-Line-of-Sight Shape Reconstruction	Shumian Xin, Carnegie Mellon University;Sotiris Nousias, University College London ;Kiriakos N. Kutulakos, University of Toronto ;Aswin C. Sankaranarayanan, Carnegie Mellon University ;Srinivasa G. Narasimhan, Carnegie Mellon University ;Ioannis Gkioulekas, Carnegie Mellon University
2018	Taskonomy: Disentangling Task Transfer Learning	Amir R. Zamir, Stanford University;Alexander Sax, Stanford University ;William Shen, Stanford University ;Leonidas Guibas, Stanford University ;Jitendra Malik, University of California, Berkeley ;Silvio Savarese, Stanford University
2017	Densely Connected Convolutional Networks	Zhuang Liu, Tsinghua University;Gao Huang, Cornell University ;Laurens van der Maaten, Facebook ;Kilian Q. Weinberger, Cornell University
	Learning from Simulated and Unsupervised Images through Adversarial Training	Ashish Shrivastava, Apple;Tomas Pfister, Apple ;Oncel Tuzel, Apple ;Josh Susskind, Apple ;Wenda Wang, Apple ;Russ Webb, Apple
2016	Deep Residual Learning for Image Recognition	Kaiming He, Microsoft;Xiangyu Zhang, Microsoft ;Shaoqing Ren, Microsoft ;Jian Sun, Microsoft
2015	DynamicFusion: Reconstruction and Tracking of Non-rigid Scenes in Real-Time	Richard A. Newcombe, University of Washington;Dieter Fox, University of Washington ;Steven M. Seitz, University of Washington
2014	What Camera Motion Reveals About Shape with Unknown BRDF	Manmohan Chandraker, NEC Labs America
2013	Fast, Accurate Detection of 100,000 Object Classes on a Single Machine	Thomas Dean, Google;Mark A. Ruzon, Google ;Mark Segal, Google ;Jonathon Shlens, Google ;Sudheendra Vijayanarasimhan, Google ;Jay Yagnik, Google
2012	A Simple Prior-free Method for Non-Rigid Structure-from-Motion Factorization	Yuchao Dai, Northwestern Polytechnical University;Hongdong Li, Australian National University ;Mingyi He, Northwestern Polytechnical University
2011	Real-time Human Pose Recognition in Parts from Single Depth Images	Jamie Shotton, Microsoft;Andrew Fitzgibbon, Microsoft ;Mat Cook, Microsoft ;Toby Sharp, Microsoft ;Mark Finocchio, Microsoft ;Richard Moore, Microsoft ;Alex Kipman, Microsoft ;Andrew Blake, Microsoft
2010	Efficient Computation of Robust Low-Rank Matrix Approximations in the Presence of Missing Data using the L1 Norm	Anders Eriksson & Anton va den Hendel, University of Adelaide
2009	Single Image Haze Removal Using Dark Channel Prior	Kaiming He, The Chinese University of Hong Kong;Jian Sun, Microsoft ;Xiaoou Tang, The Chinese University of Hong Kong
2008	Beyond Sliding Windows: Object Localization by Efficient Subwindow Search	Chistoph H. Lampert, Max Planck Institute for Biological Cybernetics;Matthew B. Blaschko, Max Planck Institute for Biological Cybernetics ;Thomas Hodmann, Google
	Global Stereo Reconstruction under Second Order Smoothness Priors	Oliver Woodford, University of Oxford;Ian Reid, Oxford Brookes University ;Philip Torr, University of Oxford ;Andrew Fitzgibbon, Microsoft
2007	Dynamic 3D Scene Analysis from a Moving Vehicle	Bastian Leibe, ETH Zurich;Nico Cornelis, Katholieke Universiteit Leuven ;Kurt COrnelis, Katholieke Universiteit Leuven ;Luc Van Gool, ETH Zurich
2006	Putting Objects in Perspective	Derek Hoiem, Carnegie Mellon University;Alexei Efros, Carnegie Mellon University ;Martial Hebert, Carnegie Mellon University
2005	Real-Time Non-Rigid Surface Detection	Julien Pilet, École Polytechnique Fédérale de Lausanne;Vincent Lepetit, École Polytechnique Fédérale de Lausanne ;Pascal Fua, École Polytechnique Fédérale de Lausanne
2004	Programmable Imaging using a Digital Micromirror Array	Shree K. Nayar, Columbia University;Vlad Branzoi, Columbia University ;Terry E. Boult, University of Colorado Boulder
2003	Object Class Recognition by Unsupervised Scale-Invariant Learning	Rob Fergus, University of Oxford;Pietro Perona, California Institute of Technology ;Andrew Zisserman, University of Oxford
2001	Morphable 3D models from video	Matthew Brand, Mitsubishi Electric Research Laboratories
2000	Real-Time Tracking of Non-Rigid Objects using Mean Shift	Dorin Comaniciu, Siemens;Visvanathan Ramesh, Siemens ;Peter Meer, Rutgers University
FOCS (Theory)		
2021	Superpolynomial Lower Bounds Against Low-Depth Algebraic Circuits	Nutan Limaye, Indian Institute of Technology Kanpur;Srikanth Srinivasan, Aarhus University ;Sébastien Tavenas, Université Grenoble Alpes
2020	An Equivalence Between Private Classification and Online Prediction	Mark Bun, Boston University;Roi Livni, Tel Aviv University ;Shay Moran, Google
	Edge-Weighted Online Bipartite Matching	Matthew Fahrbach, Google;Zhiyi Huang, The University of Hong Kong ;Runzhou Tao, Columbia University ;Morteza Zadimoghaddam, Google
	A New Minimax Theorem for Randomized Algorithms	Shalev Ben-David & Eric Blais, University of Waterloo
2019	Lower bounds for maximal matchings and maximal independent sets	Alkida Balliu, Aalto University;Sebastian Brandt, ETH Zurich ;Juho Hirvonen, Aalto University ;Dennis Olivetti, Aalto University ;Mikaël Rabie, Aalto University ;Jukka Suomela, Aalto University
	NEEXP ⊆ MIP*	Anand Natarajan, California Institute of Technology ;John Wright, Massachusetts Institute of Technology
	Automating Resolution is NP-Hard	Albert Atserias & Moritz Müller, Polytechnic University of Catalonia
2018	Classical Verification of Quantum Computation	Urmila Mahadev, University of California, Berkeley
	Pseudorandom Sets in Grassmann Graph have Near-Perfect Expansion	Subhash Khot, New York University;Dor Minzer, Tel Aviv University ;Muli Safra, Tel Aviv University
	Approximating Edit Distance Within Constant Factor in Truly Sub-Quadratic Time	Diptarka Chakraborty, Computer Science Institute of Charles University;Debarati Das, Computer Science Institute of Charles University ;Elazar Goldenberg, The Academic College of Tel Aviv-Yaffo ;Michal Koucký, Computer Science Institute of Charles University ;Michael Saks, Rutgers University
2017	A dichotomy theorem for nonuniform CSPs	Andrei A. Bulatov, Simon Fraser University
	The Proof of CSP Dichotomy Conjecture	Dmitriy Zhuk, Moscow State University
	The Matching Problem in General Graphs is in Quasi-NC	Ola Svensson & Jakub Tarnawski, École Polytechnique Fédérale de Lausanne
2016	Settling the Complexity of Computing Approximate Two-Player Nash Equilibria	Aviad Rubinstein, University of California, Berkeley
	Fast Learning Requires Good Memory: A Time-Space Lower Bound for Parity Learning	Ran Raz, Weizmann Institute of Science
2015	An average-case depth hierarchy theorem for Boolean circuits	Benjamin Rossman, National Institute of Informatics;Rocco A. Servedio, Columbia University ;Li-Yang Tan, University of California, Berkeley
2014	Path Finding Methods for Linear Programming: Solving Linear Programs in O(sqrt(rank)) Iterations and Faster Algorithms for Maximum Flow	Yin Tat Lee & Aaron Sidford, Massachusetts Institute of Technology
2013	Navigating Central Path with Electrical Flows: from Flows to Matchings, and Back	Aleksander Mądry, École Polytechnique Fédérale de Lausanne
	On Kinetic Delaunay Triangulations: A Near Quadratic Bound for Unit Speed Motions	Natan Rubin, University of Paris VI: Pierre-and-Marie-Curie University
2012	A Polylogarithimic Approximation Algorithm for Edge-Disjoint Paths with Congestion 2	Julia Chuzhoy, Toyota Technological Institute at Chicago ;Shi Li, Princeton University
	A multi-prover interactive proof for NEXP sound against entangled provers	Tsuyoshi Ito, NEC Labs America ;Thomas Vidick, Massachusetts Institute of Technology
2011	A Randomized Rounding Approach to the Traveling Salesman Problem	Shayan Oveis Gharan, Stanford University;Amin Saberi, Stanford University ;Mohit Singh, McGill University
	Approximating Graphic TSP by Matchings	Tobia Mömke & Ola Svensson, Royal Institute of Technology
	A Polylogarithmic-Competitive Algorithm for the k-Server Problem	Nikhil Bansal, IBM;Niv Buchbinder, The Open University ;Aleksander Mądry, Massachusetts Institute of Technology ;Joseph Naor, Technion – Israel Institute of Technology
2010	Subexponential Algorithms for Unique Games and Related Problems	Sanjeev Arora, Princeton University;Boaz Barak, Princeton University ;David Steurer, Princeton University
	Computational Transition at the Uniqueness Threshold	Allan Sly, Microsoft
	Approximation Algorithms for the Edge-Disjoint Paths Problem via Raecke Decompositions	Matthew Andrews, Bell Labs
2008	Two Query PCP with Sub-Constant Error	Dana Moshkovitz & Ran Raz, Weizmann Institute of Science
2007	Space-Efficient Identity Based Encryption Without Pairings	Dan Boneh, Stanford University;Craig Gentry, Stanford University ;Michael Hamburg, Stanford University
2006	Settling the Complexity of 2-Player Nash Equilibrium	Xi Chen, Tsinghua University ;Xiaotie Deng, City University of Hong Kong
2005	The Unique Games Conjecture, Integrality Gap for Cut Problems and Embeddability of Negative Type Metrics into L1	Subhash A. Khot, Georgia Institute of Technology ;Nisheeth K. Vishnoi, IBM
	Correcting Errors Beyond the Guruswami-Sudan Radius in Polynomial Time	Farzad Parvaresh & Alexander Vardy, University of California, San Diego
2004	Hardness of Approximating the Shortest Vector Problem in Lattices	Subhash Khot, Georgia Institute of Technology
	Cryptography in NC0	Benny Applebaum, Technion – Israel Institute of Technology;Yuval Ishai, Technion – Israel Institute of Technology ;Eyal Kushilevitz, Technion – Israel Institute of Technology
2003	On the Impossibility of Dimension Reduction in L1	Bo Brinkman & Moses Charikar, Princeton University
2002	Constant-Round Coin-Tossing with a Man in the Middle or Realizing the Shared Random String Model	Boaz Barak, Weizmann Institute of Science
	Minimizing Congestion in General Networks	Harald Räcke, University of Paderborn
	A Dichotomy Theorem for Constraints on a Three-Element Set	Andrei A. Bulatov, University of Oxford
FSE (Software Engineering)		
2021	A longitudinal analysis of bloated Java dependencies	César Soto-Valero, Royal Institute of Technology;Thomas Durieux, Royal Institute of Technology ;Benoit Baudry, Royal Institute of Technology
	AlloyMax: bringing maximum satisfaction to relational specifications	Changjian Zhang, Carnegie Mellon University;Ryan Wagner, Carnegie Mellon University ;Pedro Orvalho, INESC-ID/IST ;David Garlan, Carnegie Mellon University ;Vasco Manquinho, INESC-ID/IST ;Ruben Martins, Carnegie Mellon University ;Eunsuk Kang, Carnegie Mellon University
	Bias in machine learning software: why? how? what to do?	Joymallya Chakraborty, North Carolina State University;Suvodeep Majumder, North Carolina State University ;Tim Menzies, North Carolina State University
	Efficient Module-Level Dynamic Analysis for Dynamic Languages with Module Recontextualization	Nikos Vasilakis, Massachusetts Institute of Technology;Grigoris Ntousakis, TU Crete ;Veit Heller, Independent Researcher ;Martin C. Rinard, Massachusetts Institute of Technology
	Probabilistic Delta Debugging	Guancheng Wang, Peking University;Ruobing Shen, Peking University ;Junjie Chen, Tianjin University ;Yingfei Xiong, Peking University ;Lu Zhang, Peking University
	Semantic Bug Seeding: A Learning-Based Approach for Creating Realistic Bugs	Jibesh Patra & Michael Pradel, University of Stuttgart
	SmartCommit: A Graph-Based Interactive Assistant for Activity-Oriented Commits	Bo Shen, Peking University;Wei Zhang, Peking University ;Christian Kästner, Carnegie Mellon University ;Haiyan Zhao, Peking University ;Zhao Wei, Huawei ;Guangtai Liang, Huawei ;Zhi Jin, Peking University
	Vet: Identifying and Avoiding UI Exploration Tarpits	Wenyu Wang, University of Illinois at Urbana–Champaign;Wei Yang, University of Texas at Dallas ;Tianyin Xu, University of Illinois at Urbana–Champaign ;Tao Xie, Peking University
2020	A Principled Approach to GraphQL Query Cost Analysis	Alan Cha, IBM;Erik Wittern, IBM ;Guillaume Baudart, IBM ;James C. Davis, Purdue University ;Louis Mandel, IBM ;Jim Alain Laredo, IBM
	Boosting fuzzer efficiency: an information theoretic perspective	Marcel Bohme, Monash University;Valentin J. Manes, KAIST ;Sang-kil Cha, KAIST
	Community expectations for research artifacts and evaluation processes	Ben Hermann, University of Poderborn;Stefan Winter, TU Darmstadt ;Janet Siegmund, TU Chemnitz
	Deep learning library testing via effective model generation	Zan Wang, Tianjin University;Ming Yan, Tianjin University ;Junjie Chen, Tianjin University ;Shuang Liu, Tianjin University ;Dongdi Zhang, Tianjin University
	Detecting numerical bugs in neural network architectures	Yuhao Zhang, Peking University;Luyao Ren, Peking University ;Liqian Chen, National University of Defense Technology ;Yingfei Xiong, Peking University ;S. C. Cheung, Hong Kong University of Science and Technology ;Tao Xie, Peking University
	On decomposing a deep neural network into modules	Rangeet Pan & Hridesh Rajan, Iowa State University
	Testing self-adaptive software with probabilistic guarantees on performance metrics	Claudio Mandrioli, Lund University ;Martina Maggio, Saarland University
2019	Empirical Review of Java Program Repair Tools: A Large-Scale Experiment on 2,141 Bugs and 23,551 Repair Attempts	Thomas Durieux, University of Lisbon;Fernanda Madeiral, Universidade Federal de Uberlândia ;Matias Martinez, University Polytechnique Hauts-de-France ;Rui Abreu, University of Lisbon
	Generating Automated and Online Test Oracles for Simulink Models with Continuous and Uncertain Behaviors	Claudio Menghi, University of Luxembourg;Shiva Nejati, University of Luxembourg ;Khouloud Gaaloul, University of Luxembourg ;Lionel C. Briand, University of Luxembourg
	The Importance of Accounting for Real-World Labelling When Predicting Software Vulnerabilities	Matthieu Jimenez, University of Luxembourg;Renaud Rwemalika, University of Luxembourg ;Mike Papadakis, University of Luxembourg ;Federica Sarro, University College London ;Yves Le Traon, University of Luxembourg ;Mark Harman, University College London
	Assessing the Quality of the Steps to Reproduce in Bug Reports	Oscar Chaparro, College of William & Mary;Carlos Bernal-Cárdenas, College of William & Mary ;Jing Lu, University of Texas at Dallas ;Kevin Moran, College of William & Mary ;Andrian Marcus, University of Texas at Dallas ;Massimiliano Di Penta, University of Sannio ;Denys Poshyvanyk, College of William & Mary ;Vincent Ng, University of Texas at Dallas
	A Framework for Writing Trigger-Action Todo Comments in Executable Format	Pengyu Nie, University of Texas at Austin;Rishabh Rai, University of Texas at Austin ;Junyi Jessy Li, University of Texas at Austin ;Sarfraz Khurshid, University of Texas at Austin ;Raymond J. Mooney, University of Texas at Austin ;Milos Gligoric , University of Texas at Austin
	A Statistics-based Performance Testing Methodology for Cloud Applications	Sen He, University of Texas at San Antonio;Glenna Manns, University of Virginia ;John Saunders, University of Virginia ;Wei Wang, University of Texas at San Antonio ;Lori Pollock, University of Delaware ;Mary Lou Soffa, University of Virginia
2018	The Impact of Regular Expression Denial of Service (ReDoS) in Practice: An Empirical Study at the Ecosystem Scale	James C. Davis, Virginia Tech;Christy A. Coghlan, Virginia Tech ;Francisco Servant, Virginia Tech ;Dongyoon Lee, Virginia Tech
	Adversarial Symbolic Execution for Detecting Concurrency-Related Cache Timing Leaks	Shengjian (Daniel) Guo, Virginia Tech;Meng Wu, Virginia Tech ;Chao Wang, University of Southern California
	Data Race Detection on Compressed Traces	Dileep Kini, University of Illinois at Urbana–Champaign;Umang Mathur, University of Illinois at Urbana–Champaign ;Mahesh Viswanathan, University of Illinois at Urbana–Champaign
	Do Android Taint Analysis Tools Keep Their Promises?	Felix Pauck, University of Paderborn;Eric Bodden, University of Paderborn ;Heike Wehrheim, University of Paderborn
	An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems	Yu Gao, Chinese Academy of Sciences;Wensheng Dou, Chinese Academy of Sciences ;Feng Qin, Ohio State University ;Chushu Gao, Chinese Academy of Sciences ;Dong Wang, Chinese Academy of Sciences ;Jun Wei, Chinese Academy of Sciences ;Ruirui Huang, Alibaba Group ;Li Zhou, Alibaba Group ;Yongming Wu, Alibaba Group
	Oreo: Detection of Clones in the Twilight Zone	Vaibhav Saini, University of California, Irvine;Farima Farmahinifarahani, University of California, Irvine ;Yadong Lu, University of California, Irvine ;Pierre Baldi, University of California, Irvine ;Crista Lopes, University of California, Irvine
2017	The Power of "Why" and "Why Not": Enriching Scenario Exploration with Provenance	Tim Nelson, Brown University;Natasha Danas, Brown University ;Daniel J. Dougherty, Worcester Polytechnic Institute ;Shriram Krishnamurthi, Brown University
	Understanding Misunderstandings in Source Code	Dan Gopstein, New York University;Jake Iannacone, New York University ;Yu Yan, Pennsylvania State University ;Lois DeLong, New York University ;Yanyan Zhuang, University of Colorado Boulder ;Martin K.-C. Yeh, Pennsylvania State University ;Justin Cappos, New York University
	Trade-Offs in Continuous Integration: Assurance, Security, and Flexibility	Michael Hilton, Oregon State University;Nicholas Nelson, Oregon State University ;Timothy Tunnell, University of Illinois at Urbana–Champaign ;Darko Marinov, University of Illinois at Urbana–Champaign ;Danny Dig, Oregon State University
	Cooperative Kernels: GPU Multitasking for Blocking Algorithms	Tyler Sorensen, Imperial College London;Hugues Evrard, Imperial College London ;Alastair F. Donaldson, Imperial College London
	Fairness Testing: Testing Software for Discrimination	Sainyam Galhotra, University of Massachusetts Amherst;Yuriy Brun, University of Massachusetts Amherst ;Alexandra Meliou, University of Massachusetts Amherst
	Discovering Relational Specifications	Calvin Smith, University of Wisconsin–Madison;Gabriel Ferns, University of Wisconsin–Madison ;Aws Albarghouthi, University of Wisconsin–Madison
	Automatically Diagnosing and Repairing Error Handling Bugs in C	Yuchi Tian & Baishakhi Ray, University of Virginia
2016	API Code Recommendation Using Statistical Learning from Fine-grained Changes	Anh Tuan Nguyen, Iowa State University;Michael Hilton, Oregon State University ;Mihai Codoban, Microsoft ;Hoan Anh Nguyen, Iowa State University ;Lily Mast, University of Evansville ;Eli Rademacher, Oregon State University ;Tien N. Nguyen, Iowa State University ;Danny Dig, Oregon State University
	Detecting Sensitive Data Disclosure via Bi-directional Text Correlation Analysis	Jianjun Huang, Purdue University;Xiangyu Zhang, Purdue University ;Lin Tan, University of Waterloo
	Factors Influencing Code Review Processes in Industry	Tobias Baum, Leibniz University Hannover;Olga Liskin, Leibniz University Hannover ;Kai Niklas, Leibniz University Hannover ;Kurt Schneider, Leibniz University Hannover
	Foraging and Navigations Fundamentally: Developers' Predictions of Value and Cost	David Piorkowski, Oregon State University;Austin Z. Henley, University of Memphis ;Tahmid Nabi, Oregon State University ;Scott D. Fleming, University of Memphis ;Christopher Scaffidi, Oregon State University ;Margaret Burnett, Oregon State University
	Multi-Representational Security Analysis	Eunsuk Kang, University of California, Berkeley;Aleksandar Milicevic, Microsoft ;Daniel Jackson, Massachusetts Institute of Technology
	Proteus: Computing Disjunctive Loop Summary via Path Dependency Analysis	Xiaofei Xie, Tianjin University;Bihuan Chen, Nanyang Technological University ;Yang Liu, Nanyang Technological University ;Wei Le, Iowa State University ;Xiaohong Li, Tianjin University
	Why We Refactor? Confessions of GitHub Contributors	Danilo Silva, Federal University of Minas Gerais;Nikolaos Tsantalis, Concordia University ;Marco Tulio Valente, Federal University of Minas Gerais
2015	How Practitioners Perceive the Relevance of Software Engineering Research	David Lo, Singapore Management University;Nachiappan Nagappan, Microsoft ;Thomas Zimmermann, Microsoft
	Effective Test Suites for Mixed Discrete-Continuous Stateflow Controllers	Reza Matinnejad, University of Luxembourg;Shiva Nejati, University of Luxembourg ;Lionel C. Briand, University of Luxembourg ;Thomas Bruckmann, Delphi Automotive Systems
	MultiSE: Multi-path Symbolic Execution using Value Summaries	Koushik Sen, University of California, Berkeley;George Necula, University of California, Berkeley ;Liang Gong, University of California, Berkeley ;Wontae Choi, University of California, Berkeley
	Modeling Readability to Improve Unit Tests	Ermira Daka, University of Sheffield;José Campos, University of Sheffield ;Gordon Fraser, University of Sheffield ;Jonathan Dorn, University of Virginia ;Westley Weimer, University of Virginia
	Optimizing energy consumption of GUIs in Android apps: a multi-objective approach	Mario Linares-Vásquez, College of William & Mary;Gabriele Bavota, Free University of Bozen-Bolzano ;Carlos Eduardo Bernal Cárdenas, College of William & Mary ;Rocco Oliveto, University of Molise ;Massimiliano Di Penta, University of Sannio ;Denys Poshyvanyk, College of William & Mary
	Measure It? Manage It? Ignore It? Software Practitioners and Technical Debt	Neil A. Ernst, Carnegie Mellon University;Stephany Bellomo, Carnegie Mellon University ;Ipek Ozkaya, Carnegie Mellon University ;Robert L. Nord, Carnegie Mellon University ;Ian Gorton, Carnegie Mellon University
	A User-Guided Approach to Program Analysis	Ravi Mangal, Georgia Institute of Technology;Xin Zhang, Georgia Institute of Technology ;Aditya V. Nori, Microsoft ;Mayur Naik, Georgia Institute of Technology
	Users Beware: Preference Inconsistencies Ahead	Farnaz Behrang, Georgia Institute of Technology;Myra B. Cohen, University of Nebraska–Lincoln ;Alessandro Orso, Georgia Institute of Technology
2014	Architecture Challenges for Internal Software Ecosystems: A Large-Scale Industry Case Study	Klaus-Benedikt Schultis, Siemens;Christoph Elsner, Siemens ;Daniel Lohmann, University of Erlangen-Nuremberg
	Selection and Presentation Practices for Code Example Summarization	Annie Ying & Martin Robillard, McGill University
	Learning Natural Coding Conventions	Miltiadis Allamanis, University of Edinburgh;Earl T. Barr, University College London ;Christian Bird, Microsoft ;Charles Sutton, University of Edinburgh
	AI: A Lightweight System for Tolerating Concurrency Bugs	Mingxing Zhang, Tsinghua University;Yongwei Wu, Tsinghua University ;Shan Lu, University of Wisconsin–Madison ;Shanxiang Qi, University of Illinois at Urbana–Champaign ;Jinglei Ren, Tsinghua University ;Weimin Zheng, Tsinghua University
	Powering the Static Driver Verifier using Corral	Akash Lal & Shaz Qadeer, Microsoft
